text, sentiment
rock destin centuri new conan go make splash even greater arnold schwarzenegg van damm steven segal, 0.80556
gorgeous elabor continu lord ring trilog huge column word adequ describ peter jackson expand vision tolkien, 0.375
effect biopic, 0.5
sometim like go movi fun wasabi good place start, 0.027778
emerg someth rare issu movi honest keen observ feel like one, 0.11111
film provid great insight neurot mindset comic even reach absolut top game, 0.73611
offer rare combin entertain educ, 0.027778
perhap pictur ever made liter show road hell pave good intent, 0.5
steer turn snappi screenplay curl edg clever want hate, 0.55556
somehow pull, 0.84722
take care cat offer refresh differ slice asian cinema, 0.5
film well worth see talk sing head, 0.56944
realli surpris wisegirl qualiti genuin tender, 0.5
wendigo go cinema fed eye heart mind, 0.93056
one greatest movi ever, 0.23611
ultim ponder reason need stori much, 0.5
utter compel wrote reput famous author ever live come question, 0.77778
illumin over talki documentari, 0.76389
masterpiec four year make, 0.81944
movi ripe enraptur beauti tempt will probe inscrut mysteri, 0.77778
offer breath fresh air true sophist, 0.66667
thought provoc insist human film, 0.58333
cast includ top actor work independ film love amaz involv us incis bleak amus go live, 0.33333
disturb frighten evoc assembl imageri hypnot music compos philip glass, 0.5
everyon connect nice departur standard moviego fare, 0.5
score point dedic profession, 0.61111
occasion melodramat also extrem effect, 0.68056
idealist love stori bring latent romant everyon, 0.31944
minut treasur planet maintain brisk pace race familiar stori, 0.33333
howev lack grandeur epic qualiti often associ stevenson tale well earlier disney effort, 0.5
help lil bow wow tone gangsta act play someon resembl real kid, 0.73611
guarante move anyon ever shook rattl roll, 0.58333
master film master filmmak uniqu decept grim compel fatalist worldview, 0.72222
light cute forgett, 0.5
way effect teach kid danger drug think project like unfortun paid, 0.44444
would easi give crush new titl two wed funer far thought film slice hugh grant whimsi, 0.44444
though everyth might liter smart never took alway seem static, 0.5
cantet perfect captur hotel lobbi highway roadsid cafe permeat vincent day, 0.63889
almost spooki sulki calcul lolita turn, 0.5
though mean best work distinguish distinct effort master fascin film replet reward will make effort reap, 0.34722
like bond outing recent year stunt outlandish border cartoonlik, 0.40278
heavi relianc cgi technolog begin creep seri, 0.16667
newton draw attent like magnet act circl around better known mark wahlberg, 0.5
stori lose bite happi end even less plausibl rest pictur, 0.25
much way though refresh novel ride, 0.55556
fuller would sure call gutsi time exhilar movi great yarn, 0.91667
film make strong case import musician creat motown sound, 0.54167
karmen move like rhythm lip chant beat long braid hair littl wipe away jewel bead sweat, 0.36111
gosl provid amaz perform dwarf everyth els film, 0.27778
real movi real peopl give us rare glimps cultur us know, 0.18056
tender yet lacer dark funni fabl, 0.26389
may spoof easi target old giant creatur featur acknowledg celebr cheesi reason peopl get kick watch today, 0.47222
engag overview johnson eccentr career, 0.5
